timestamp,latitudeE7,longitudeE7
2023-09-21T22:38:17.325Z,372398372,-804068869
2023-09-21T22:40:53.273Z,372398202,-804070293
2023-09-21T22:42:55.555Z,372398505,-804068969
2023-09-21T22:44:37.229Z,372398458,-804068889
2023-09-21T22:46:38.862Z,372398431,-804068814
2023-09-21T22:47:46.698Z,372398453,-804068850
2023-09-21T22:49:46.769Z,372398393,-804068944
2023-09-21T22:51:46.755Z,372398444,-804068831
2023-09-21T22:53:47.821Z,372398435,-804068936
2023-09-21T22:55:47.899Z,372398379,-804069006
2023-09-21T22:56:09.022Z,372397965,-804069323
2023-09-21T22:56:38.251Z,372398415,-804068887
2023-09-21T23:00:20.798Z,372397219,-804068542
2023-09-21T23:00:53.402Z,372397816,-804068153
2023-09-21T23:04:02.027Z,372398512,-804068953
2023-09-21T23:05:08.690Z,372398502,-804068908
2023-09-21T23:32:21.903Z,372398407,-804068670
2023-09-21T23:32:42.845Z,372398453,-804068882
2023-09-21T23:34:43.792Z,372398446,-804068862
2023-09-21T23:36:43.907Z,372398452,-804068878
2023-09-21T23:38:09.772Z,372398349,-804068733
2023-09-21T23:40:19.692Z,372398428,-804068918
2023-09-21T23:41:30.352Z,372398422,-804068933
2023-09-21T23:43:30.377Z,372398452,-804068903
2023-09-21T23:46:44.180Z,372398266,-804068409
2023-09-21T23:47:56.350Z,372398328,-804068519
2023-09-21T23:48:25.300Z,372398429,-804068887
2023-09-21T23:49:50.267Z,372398426,-804068804
2023-09-21T23:51:01.870Z,372398369,-804068707
2023-09-21T23:52:21.427Z,372395816,-804068315
2023-09-21T23:52:45.435Z,372398205,-804068413
2023-09-21T23:53:25.755Z,372398371,-804068730
2023-09-21T23:55:23.405Z,372398445,-804068853
2023-09-21T23:57:24.820Z,372398388,-804068797
2023-09-21T23:59:25.822Z,372398448,-804068868
2023-09-22T00:02:28.886Z,372398444,-804068864
2023-09-22T00:05:33.540Z,372398469,-804068926
2023-09-22T00:07:33.119Z,372398446,-804068964
2023-09-22T00:12:37.186Z,372398412,-804068948
2023-09-22T00:15:14.552Z,372398412,-804068948
2023-09-22T00:19:07.010Z,372398463,-804068961
2023-09-22T00:29:34.106Z,372398444,-804068934
2023-09-22T00:50:01.872Z,372398406,-804069042
2023-09-22T01:00:05.946Z,372398446,-804068919
2023-09-22T01:29:21.007Z,372398446,-804068919
2023-09-22T01:44:00.945Z,372398446,-804068919
2023-09-22T01:52:04.228Z,372398446,-804068919
2023-09-22T02:35:09.556Z,372398446,-804068919
2023-09-22T02:46:20.034Z,372398446,-804068919
2023-09-22T02:58:34.222Z,372398446,-804068919
2023-09-22T03:21:12.167Z,372398446,-804068919
2023-09-22T03:34:17.105Z,372398446,-804068919
2023-09-22T03:40:20.201Z,372398446,-804068919
2023-09-22T04:33:19.901Z,372398446,-804068919
2023-09-22T04:34:20.386Z,372398446,-804068919
2023-09-22T05:27:08.720Z,372398446,-804068919
2023-09-22T05:28:20.526Z,372398419,-804068918
2023-09-22T05:29:50.603Z,372398423,-804068896
2023-09-22T05:31:45.521Z,372398419,-804068895
2023-09-22T05:33:33.681Z,372398452,-804068909
